Market Data Analyst,$59K-$85K (Glassdoor est.),3.5,"EDP World, Inc.
3.5","New York, NY","New York, NY",1 to 50 employees,Staffing & Outsourcing,Business Services,$1 to $5 million (USD)
Data Analyst,$59K-$85K (Glassdoor est.),4.1,"Phyton Talent Advisors
4.1","Jersey City, NJ","New York, NY",1 to 50 employees,-1,-1,Unknown / Non-Applicable
Junior Data Analyst,$59K-$85K (Glassdoor est.),5,"Staffigo Technical Services, LLC
5.0","New York, NY","Woodridge, IL",51 to 200 employees,IT Services,Information Technology,$50 to $100 million (USD)
Microsoft Dynamics CRM Data Analyst,$59K-$85K (Glassdoor est.),3.7,"IBM
3.7","New York, NY","Armonk, NY",10000+ employees,IT Services,Information Technology,$10+ billion (USD)
Practice Analyst Data,$59K-$85K (Glassdoor est.),4,"Northwell Health
4.0","Manhasset, NY","Lake Success, NY",10000+ employees,Health Care Services & Hospitals,Health Care,$10+ billion (USD)
Buyside - Data Scientist/Research Analyst,$59K-$85K (Glassdoor est.),3.3,"Huxley
3.3","New York, NY","London, United Kingdom",201 to 500 employees,Staffing & Outsourcing,Business Services,$25 to $50 million (USD)
Data Analyst - Healthcare Provider Networks and Formularies,$59K-$85K (Glassdoor est.),2.9,"Vericred
2.9","New York, NY","New York, NY",1 to 50 employees,Internet,Information Technology,Unknown / Non-Applicable
Electronic Trading Data Analyst,$59K-$85K (Glassdoor est.),3.6,"Scotiabank
3.6","New York, NY","Toronto, Canada",10000+ employees,Investment Banking & Asset Management,Finance,$10+ billion (USD)
"Data Analyst, Center for Developing Brain",$59K-$85K (Glassdoor est.),3.2,"Child Mind Institute
3.2","New York, NY","New York, NY",201 to 500 employees,Health Care Services & Hospitals,Health Care,$25 to $50 million (USD)
Data Processing & Performance Analyst,$59K-$85K (Glassdoor est.),3.1,"Balance Innovations
3.1","New York, NY","Lenexa, KS",51 to 200 employees,Computer Hardware & Software,Information Technology,$1 to $5 million (USD)
Business Analyst - Data Analyst,$59K-$85K (Glassdoor est.),3.4,"Asset Staffing
3.4","Newark, NJ","New York, NY",201 to 500 employees,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
Data Analyst with Rochade,$59K-$85K (Glassdoor est.),4,"Reliable Software Resources
4.0","New York, NY","Northville, MI",501 to 1000 employees,IT Services,Information Technology,$50 to $100 million (USD)
Advertising Data Analyst,$59K-$85K (Glassdoor est.),4.3,"Hearst Television, Inc
4.3","New York, NY","Cincinnati, OH",51 to 200 employees,TV Broadcast & Cable Networks,Media,$5 to $10 million (USD)
